A	TRACTO ALIMENTARIO Y METABOLISMO
D07BC	CORTICOESTEROIDES POTENTES EN COMBINACIÓN CON ANTISÉPTICOS
D07BC01	BETAMETASONA Y ANTISÉPTICOS
D07BC02	ACETÓNIDO DE FLUOCINOLONA Y ANTISÉPTICOS
D07BC03	FLUOCORTOLONA Y ANTISÉPTICOS
D07BC04	DIFLUCORTOLONA Y ANTISÉPTICOS
D07BD	CORTICOESTEROIDES MUY POTENTES EN COMBINACIÓN CON ANTISÉPTICOS
D07C	CORTICOESTEROIDES EN COMBINACIÓN CON ANTIBIÓTICOS
D07CA	CORTICOESTEROIDES DE BAJA POTENCIA EN COMBINACIÓN CON ANTIBIÓTICOS
D07CA01	HIDROCORTISONA Y ANTIBIÓTICOS
D07CA02	METILPREDNISOLONA Y ANTIBIÓTICOS
D07CA03	PREDNISOLONA Y ANTIBIÓTICOS
D07CB	CORTICOESTEROIDES MODERADAMENTE POTENTES EN COMBINACIÓN CON ANTIBIÓTICOS
D07CB01	TRIAMCINOLONA Y ANTIBIÓTICOS
D07CB02	FLUPREDNIDENO Y ANTIBIÓTICOS
D07CB03	FLUOROMETOLONA Y ANTIBIÓTICOS
D07CB04	DEXAMETASONA Y ANTIBIÓTICOS
D07CB05	FLUMETASONA Y ANTIBIÓTICOS
D07CC	CORTICOESTEROIDES POTENTES EN COMBINACIÓN CON ANTIBIÓTICOS
D07CC01	BETAMETASONA AND ANTIBIOTICS
D07CC02	FLUOCINOLONA ACETÓNIDO Y ANTIBIÓTICOS
D07CC03	FLUDROXICORTIDE Y ANTIBIÓTICOS
D07CC04	BECLOMETASONA Y ANTIBIÓTICOS
D07CC05	FLUOCINONIDO Y ANTIBIÓTICOS
D07CC06	FLUOCORTOLONA Y ANTIBIÓTICOS
D07CD	CORTICOESTEROIDES MUY POTENTES EN COMBINACIÓN CON ANTIBIÓTICOS
D07CD01	CLOBETASOL Y ANTIBIÓTICOS
D07X	CORTICOESTEROIDES, OTRAS COMBINACIONES
D07XA	CORTICOESTEROIDES DE BAJA POTENCIA, OTRAS COMBINACIONES
D07XA01	HIDROCORTISONA
D07XA02	PREDNISOLONA
D07XB	CORTICOESTEROIDES MODERADAMENTE POTENTES, OTRAS COMBINACIONES
D07XB01	FLUMETASONA
D07XB02	TRIAMCINOLONA
D07XB03	FLUPREDNIDENO
D07XB04	FLUOROMETOLONA
D07XB05	DEXAMETASONA
D07XB30	COMBINACIONES DE CORTICOESTEROIDES
D07XC	CORTICOESTEROIDES POTENTES, OTRAS COMBINACIONES
D07XC01	BETAMETASONA
D07XC02	DESOXIMETASONA
D07XC03	MOMETASONA
D07XC04	DIFLUCORTOLONA
D07XD	CORTICOESTEROIDES MUY POTENTES, OTRAS COMBINACIONES
D08	ANTISÉPTICOS Y DESINFECTANTES
D08A	ANTISÉPTICOS Y DESINFECTANTES
D08AA	DERIVADOS DE LA ACRIDINA
D08AA01	LACTATO DE ETACRIDINA
D08AA02	AMINOACRIDINA
D08AA03	EUFLAVINA
D08AB	AGENTES CON ALUMINIO
D08AC	BIGUANIDAS Y AMIDINAS
D08AC01	DIBROMOPROPAMIDINA
D08AC02	CLORHEXIDINA
D08AC03	PROPAMIDINA
D08AC04	HEXAMIDINA
D08AC05	POLIHEXANIDA
D08AC52	CLORHEXIDINA, COMBINACIONES
D08AD	PRODUCTOS CON ÁCIDO BÓRICO
D08AE	FENOL Y DERIVADOS
D08AE01	HEXACLOROFENO
D08AE02	POLICRESULEN
D08AE03	FENOL
D08AE04	TRICLOSÁN
D08AE05	CLOROXILENOL
D08AE06	BIFENILOL
D08AF	DERIVADOS DEL NITROFURANO
D08AF01	NITROFURAL
D08AG	PRODUCTOS CON IODO
D08AG01	OCTILFENOXIPOLIGLICOLÉTER YODADO
D08AG02	POVIDONA IODADA
D08AG03	IODINA
D08AG04	DIIODOHIDROXIPROPANO
D08AH	DERIVADOS DE LA QUINOLINA
D08AH01	DEQUALINIO
D08AH02	CLORQUINALDOL
D08AH03	OXIQUINOLINA
D08AH30	CLIOQUINOL
D08AJ	COMPUESTOS DE AMONIO CUATERNARIO
D08AJ01	BENZALCONIO
D08AJ02	CETRIMONIO
D08AJ03	CETILPIRIDINIO
D08AJ04	CETRIMIDE
D08AJ05	CLORURO DE BENZOXONIO
D08AJ06	CLORURO DE DIDECILDIMETILAMONIO
D08AJ57	OCTENIDINE, COMBINACIONES
D08AJ58	CLORURO DE BENZETONIO, COMBINACIONES
D08AJ59	BROMURO DE DODECLONIO, COMBINACIONES
D08AK	PRODUCTOS MERCURIALES
D08AK01	AMIDOCLORURO DE MERCURIO
D08AK02	BORATO FENILMERCÚRICO
D08AK03	CLORURO DE MERCURIO
D08AK04	MERCUROCROMO
D08AK05	MERCURIO, METÁLICO
D08AK06	TIOMERSAL
D08AK30	IODURO DE MERCURIO
D08AL	COMPUESTOS DE PLATA
D08AL01	NITRATO DE PLATA
D08AL30	PLATA
D08AX	OTROS ANTISÉPTICOS Y DESINFECTANTES
D08AX01	PERÓXIDO DE HIDRÓGENO
D08AX02	EOSINA
D08AX03	PROPANOL
D08AX04	TOSILCLORAMIDA SÓDICA
D08AX05	ISOPROPANOL
D08AX06	PERMANGANATO POTÁSICO
D08AX07	HIPOCLORITO SÓDICO
D08AX08	ETANOL
D08AX53	PROPANOL, COMBINACIONES
D09	APÓSITOS MEDICAMENTOSOS
D09A	APÓSITOS CON MEDICAMENTOS
D09AA	APÓSITOS CON POMADA CON ANTIINFECCIOSOS
D09AA01	FRAMICETINA
D09AA02	ÁCIDO FUSÍDICO
D09AA03	NITROFURAL
D09AA04	NITRATO FENILMERCÚRICO
D09AA05	BENZODODECINIO
D09AA06	TRICLOSÁN
D09AA07	CETILPIRIDINIO
D09AA08	CLORHIDRATO DE ALUMINIO
D09AA09	POVIDONA IODADA
D09AA10	CLIOQUINOL
D09AA11	BENZALCONIO
D09AA12	CLORHEXIDINA
D09AA13	YODOFORMO
D09AB	VENDAJES CON ZINC
D09AB01	VENDAJES CON ZINC SIN SUPLEMENTOS
D09AB02	VENDAJES CON ZINC CON SUPLEMENTOS
D09AX	APÓSITOS CON PARAFINA BLANDA
D10	PREPARADOS CONTRA EL ACNÉ
D10A	PREPARADOS ANTIACNÉ PARA USO TÓPICO
D10AA	COMBINACIONES CON CORTICOESTEROIDES PARA EL TRATAMIENTO DEL ACNÉ
D10AA01	FLUOROMETOLONA
D10AA02	METILPREDNISOLONA
D10AA03	DEXAMETASONA
D10AB	PREPARADOS QUE CONTIENEN AZUFRE
D10AB01	BITIONOL
D10AB02	SULFURO
D10AB03	TIOXOLONA
D10AB05	MESULFEN
D10AD	RETINOIDES PARA USO TÓPICO EN ACNÉ
D10AD01	TRETINOÍNA
D10AD02	RETINOL
D10AD03	ADAPALENO
D10AD04	ISOTRETINOÍNA
D10AD05	MOTRETINIDA
D10AD51	TRETINOÍNA, COMBINACIONES
D10AD53	ADAPALENO, COMBINACIONES
D10AD54	ISOTRETINOÍNA, COMBINACIONES
D10AE	PERÓXIDOS
D10AE01	PERÓXIDO DE BENZOLILO
D10AE51	PERÓXIDO DE BENZOLILO, COMBINACIONES
D10AF	ANTIINFECCIOSOS PARA EL TRATAMIENTO DEL ACNÉ
D10AF01	CLINDAMICINA
D10AF02	ERITROMICINA
D10AF03	CLORAMFENICOL
D10AF04	MECLOCICLINA
D10AF51	CLINDAMICINA, COMBINACIONES
D10AF52	ERITROMICINA, COMBINACIONES
D10AX	OTROS PREPARADOS ANTIACNÉ PARA USO TÓPICO
D10AX01	CLORURO DE ALUMINIO
D10AX02	RESORCINOL
D10AX03	ÁCIDO AZELÁICO
D10AX04	ÓXIDO DE ALUMINIO
D10AX30	VARIOS, COMBINACIONES
D10B	PREPARADOS ANTIACNÉ PARA USO SISTÉMICO
D10BA	RETINOIDES PARA EL TRATAMIENTO DEL ACNÉ
D10BA01	ISOTRETINOÍNA
D10BX	OTROS PREPARADOS ANTIACNÉ PARA USO SISTÉMICO
D10BX01	ICTASOL
D11	OTROS PREPARADOS DERMATOLÓGICOS
D11A	OTROS PREPARADOS DERMATOLÓGICOS
D11AA	ANHIDRÓTICOS
D11AC	CHAMPÚES MEDICINALES
D11AC01	CETRIMIDE
D11AC02	COMPUESTOS DE CADMIO
D11AC03	COMPUESTOS DE SELENIO
D11AC06	POVIDONA YODADA
D11AC08	COMPUESTOS DE SULFURO
D11AC09	XENISALATO
D11AC30	OTROS
D11AE	ANDRÓGENOS PARA USO TÓPICO
D11AE01	METANDIENONA
D11AF	PREPARADOS ANTI-VERRUGAS Y CALLICIDAS
D11AH	AGENTES PARA EL TRATAMIENTO DE LA DERMATITIS ATÓPICA
D11AH01	TACROLIMÚS TÓPICO
D11AH02	PIMECROLIMÚS
D11AX	OTROS PRODUCTOS DERMATOLÓGICOS
D11AX01	MINOXIDIL
D11AX02	ÁCIDO GAMOLÉNICO
D11AX03	GLUCONATO CÁLCICO
D11AX04	SUCCINATO DE LITIO
D11AX05	SULFATO MAGNÉSICO
D11AX06	MEQUINOL
D11AX08	TIRATRICOL
D11AX09	OXACEPROL
D11AX10	FINASTERIDA
D11AX11	HIDROQUINONA
D11AX12	PIRITIONATO DE ZINC
D11AX13	MONOBENZONA
D11AX14	TACROLIMUS
D11AX15	PIMECROLIMUS
D11AX16	EFLORNITINA
D11AX17	ÁCIDO CROMOGÍCICO
D11AX18	DICLOFENACO
D11AX52	ÁCIDO GAMOLÉNICO, COMBINACIONES
D11AX57	COLÁGENO, COMBINACIONES
EN	ESTE MOMENTO, ESTE GRUPO NO CONTIENE NINGÚN PRINCIPIO ACTIVO
G	SISTEMA GENITOURINARIO Y HORMONAS SEXUALES
G01	ANTIINFECCIOSOS Y ANTISÉPTICOS GINECOLÓGICOS
G01A	ANTIINFECCIOSOS Y ANTISÉPTICOS EXCLUYENDO COMBINACIONES CON CORTICOSTEROIDES
G01AA	ANTIBIÓTICOS
G01AA01	NISTATINA
G01AA02	NATAMICINA
G01AA03	ANFOTERICINA B
G01AA04	CANDICIDINA
G01AA05	CLORANFENICOL
G01AA06	HACHIMICINA
G01AA07	OXITETRACICLINA
G01AA08	CARFECILINA
G01AA09	MEPARTRICINA
G01AA10	CLINDAMICINA
G01AA11	PENTAMICINA
G01AA51	NISTATINA, COMBINACIONES
G01AB	COMPUESTOS DE ARSÉNICO
G01AB01	ACETARSOL
G01AC	DERIVADOS DE LA QUINOLINA
G01AC01	DIYODOHIDROXIQUINOLEINA
G01AC02	CLIOQUINOL
G01AC03	CLORQUINALDOL
G01AC05	DEQUALINIO
G01AC06	BROXIQUINOLINA
G01AC30	OXIQUINOLINA
G01AD	ÁCIDOS ORGÁNICOS
G01AD01	ÁCIDO LÁCTICO
G01AD02	ÁCIDO ACÉTICO
G01AD03	ÁCIDO ASCÓRBICO
G01AE	SULFONAMIDAS5
G01AE01	SULFATOLAMIDA
G01AE10	COMBINACIONES DE SULFONAMIDAS
G01AF	DERIVADOS IMIDAZÓLICOS
G01AF01	METRONIDAZOL
G01AF02	CLOTRIMAZOL
G01AF04	MICONAZOL
G01AF05	ECONAZOL
G01AF06	ORNIDAZOL
G01AF07	ISOCONAZOL
G01AF08	TIOCONAZOL
G01AF11	KETOCONAZOL
G01AF12	FENTICONAZOL
G01AF13	AZANIDAZOL
G01AF14	PROPENIDAZOL
G01AF15	BUTOCONAZOL
G01AF16	OMOCONAZOL
G01AF17	OXICONAZOL
G01AF18	FLUTRIMAZOL
G01AF20	COMBINACIONES DE DERIVADOS IMIDAZÓLIDOS
G01AG	DERIVADOS TRIAZÓLICOS
G01AG02	TERCONAZOL
G01AX	OTROS ANTIINFECCIOSOS Y ANTISÉPTICOS
G01AX01	CLODANTOINA
G01AX02	INOSINA
G01AX03	POLICRESULEN
G01AX05	NIFURATEL
G01AX06	FURAZOLIDONA
G01AX09	METILROSANILINA
G01AX11	POVIDONA YODADA
G01AX12	CICLOPIROX
G01AX13	PROTIOFATE
G01AX14	LACTOBACILLUS FERMENTUM
G01AX15	COBRE (USNATE)
G01AX66	OCTENIDINA, COMBINACIONES
G01B	ANTIINFECCIOSOS Y ANTISÉPTICOS EN COMBINACIÓN CON CORTICOSTEROIDES
G01BA	ANTIBIÓTICOS CON CORTICOSTEROIDES
G01BC	DERIVADOS DE LA QUINOLINA CON CORTICOSTEROIDES
G01BD	ANTISÉPTICOS CON CORTICOSTEROIDES
G01BE	SULFONAMIDAS CON CORTICOSTEROIDES
G01BF	DERIVADOS IMIDAZÓLICOS CON CORTICOSTEROIDES
G02	OTROS PREPARADOS GINECOLÓGICOS
G02A	OXITÓCICOS
G02AB	ALCALOIDES DEL ERGOT
G02AB01	METILERGOMETRINA
G02AB02	ALCALOIDES DEL ERGOT
G02AB03	ERGOMETRINA
G02AC	ALCALOIDES DEL ERGOT Y OXITOCINA, INCL DERIVADOS, EN COMBINACIÓN
G02AC01	METILERGOMETRINA Y OXITOCINA
G02AD	PROSTAGLANDINAS
G02AD01	DINOPROST
G02AD02	DINOPROSTONA
G02AD03	GEMEPROST
G02AD04	CARBOPROST
G02AD05	SULPROSTONA
G02AX	OTROS OXITÓCICOS
G02B	ANTICONCEPTIVOS PARA USO TÓPICO
G02BA	ANTICONCEPTIVOS INTRAUTERINOS
G02BA01	DISPOSITIVOS INTRAUTERINOS (DIU) PLÁSTICOS
G02BA02	DIU CON COBRE
G02BA03	DIU PLÁSTICOS CON PROGESTERONA
G02BB	ANTICONCEPTIVOS INTRAVAGINALES
G02BB01	ANILLO VAGINAL CON PROGESTÁGENOS Y ESTRÓGENOS
G02C	OTROS PRODUCTOS GINECOLÓGICOS
G02CA	SIMPATICOMIMÉTICOS QUE INHIBEN EL TRABAJO DE PARTO
G02CA01	RITODRINA
G02CA02	BUFENINA
G02CA03	FENOTEROL
G02CB	INHIBIDORES DE LA PROLACTINA
G02CB01	BROMOCRIPTINA
G02CB02	LISURIDA
G02CB03	CABERGOLINA
G02CB04	QUINAGOLIDA
G02CB05	METERGOLINA
G02CC	PRODUCTOS ANTIINFLAMATORIOS PARA ADMINISTRACIÓN VAGINAL
G02CC01	IBUPROFENO
G02CC02	NAPROXENO
G02CC03	BENZIDAMINA
G02CC04	FLUNOXAPROFENO
G02CX	OTROS PRODUCTOS GINECOLÓGICOS
G02CX01	ATOSIBAN
G03	HORMONAS SEXUALES Y MODULADORES DEL SISTEMA GENITAL
G03A	ANTICONCEPTIVOS HORMONALES PARA USO SISTÉMICO
G03AA	PROGESTÁGENOS Y ESTRÓGENOS, PREPARADOS DE DOSIS FIJAS
G03AA01	ETINODIOL Y ESTRÓGENOS
G03AA02	QUINGESTANOL Y ESTRÓGENOS
G03AA03	LINESTRENOL Y ESTRÓGENOS
G03AA04	MEGESTROL Y ESTRÓGENOS
G03AA05	NORETISTERONA Y ESTRÓGENOS
G03AA06	NORGESTREL Y ESTRÓGENOS
G03AA07	LEVONORGESTREL Y ESTRÓGENOS
G03AA08	MEDROXIPROGESTERONA Y ESTRÓGENOS
G03AA09	DESOGESTREL Y ESTRÓGENOS
G03AA10	GESTODENE Y ESTRÓGENOS
G03AA11	NORGESTIMATE Y ESTRÓGENOS
G03AA12	DROSPIRENONA Y ESTRÓGENOS
G03AA13	NORELGESTROMIN Y ESTRÓGENOS
G03AB	PROGESTÁGENOS Y ESTRÓGENOS, PREPARADOS SECUENCIALES
G03AB01	MEGESTROL Y ESTRÓGENOS
G03AB02	LINESTRENOL Y ESTRÓGENOS
G03AB03	LEVONORGESTREL Y ESTRÓGENOS
G03AB04	NORETISTERONA Y ESTRÓGENOS
G03AB05	DESOGESTREL Y ESTRÓGENOS
G03AB06	GESTODENE Y ESTRÓGENOS
G03AB07	CLORMADINONA Y ESTRÓGENOS
G03AC	PROGESTÁGENOS
G03AC01	NORETISTERONA
G03AC02	LINESTRENOL
G03AC03	LEVONORGESTREL
G03AC04	QUINGESTANOL
G03AC05	MEGESTROL
G03AC06	MEDROXIPROGESTERONA
G03AC07	NORGESTRIENONA
G03AC08	ETONOGESTREL
G03AC09	DESOGESTREL
G03AD	ANTICONCEPTIVOS DE EMERGENCIA
G03AD02	ULIPRISTAL
G03B	ANDRÓGENOS
G03BA	DERIVADOS DEL (4) 3-OXOANDROSTENO
G03BA01	FLUOXIMESTERONA
G03BA02	METILTESTOSTERONA
G03BA03	TESTOSTERONA
G03BB	DERIVADOS DE LA (3) 5-ANDROSTANONA
G03BB01	MESTEROLONA
G03BB02	ANDROSTANOLONA
G03C	ESTRÓGENOS
G03CA	ESTRÓGENOS NATURALES Y SEMISINTÉTICOS, MONODROGAS
G03CA01	ESTINILESTRADIOL
G03CA03	ESTRADIOL
G03CA04	ESTRIOL
G03CA06	CLOROTRIANISONA
G03CA07	ESTRONA
G03CA09	PROMESTRIENO
G03CA53	ESTRADIOL, COMBINACIONES
G03CA57	ESTRÓGENOS CONJUGADOS
G03CB	ESTRÓGENOS SINTÉTICOS, MONODROGAS
G03CB01	DIENESTROL
G03CB02	DIETILESTILBESTROL
G03CB03	METALENESTRIL
G03CB04	MOXESTROL
G03CC	ESTRÓGENOS, COMBINACIONES CON OTRAS DROGAS
G03CC02	DIENESTROL
G03CC03	METALENESTRIL
G03CC04	ESTRONA
G03CC05	DIETILESTILBESTROL
G03CC06	ESTRIOL
G03CX	OTROS ESTRÓGENOS
G03CX01	TIBOLONA
G03D	PROGESTÁGENOS
G03DA	DERIVADOS DEL (4) PREGNENO
G03DA01	GESTONORONA
G03DA02	MEDROXIPROGESTERONA
G03DA03	HIDROXIPROGESTERONA
G03DA04	PROGESTERONA
G03DB	DERIVADOS DEL PREGNADIENO
G03DB01	DIDROGESTERONA
G03DB02	MEGESTROL
G03DB03	MEDROGESTONA
G03DB04	NOMEGESTROL
G03DB05	DEMEGESTONA
G03DB06	CLORMADINONA
G03DB07	PROMEGESTONA
G03DC	DERIVADOS DEL ESTRENO
G03DC01	ALILESTRENOL
G03DC02	NORETISTERONA
G03DC03	LINESTRENOL
G03DC04	ETISTERONA
G03DC05	TIBOLONA
G03DC06	ETINODIOL
G03DC31	METILESTRENOLONA
G03E	ANDRÓGENOS Y HORMONAS SEXUALES FEMENINAS EN COMBINACIÓN
G03EA	ANDRÓGENOS Y ESTRÓGENOS
G03EA01	METILTESTOSTERONA Y ESTRÓGENOS
G03EA02	TESTOSTERONA Y ESTRÓGENOS
G03EA03	PRASTERONA Y ESTRÓGENOS
G03EB	ANDRÓGENOS, PROGESTÁGENOS Y ESTRÓGENOS EN COMBINACIÓN
G03EK	ANDRÓGENOS Y HORMONAS SEXUALES FEMENINAS EN COMBINACIÓN CON OTRAS DROGAS
G03EK01	METILTESTOSTERONA
G03F	PROGESTÁGENOS Y ESTRÓGENOS EN COMBINACIÓN
G03FA	PROGESTÁGENOS Y ESTRÓGENOS, COMBINACIONES
G03FA01	NORETISTERONA Y ESTRÓGENOS
G03FA02	HIDROXIPROGESTERONA Y ESTRÓGENOS
G03FA03	ETISTERONA Y ESTRÓGENOS
G03FA04	PROGESTERONA Y ESTRÓGENOS
G03FA05	METILNORTESTOSTERONA Y ESTRÓGENOS
G03FA06	ETINODIOL Y ESTRÓGENOS
G03FA07	LINESTRENOL Y ESTRÓGENOS
G03FA08	MEGESTROL Y ESTRÓGENOS
G03FA09	NORETINODREL Y ESTRÓGENOS
G03FA10	NORGESTREL Y ESTRÓGENOS
G03FA11	LEVONORGESTREL Y ESTRÓGENOS
G03FA12	MEDROXIPROGESTERONA Y ESTRÓGENOS
G03FA13	NORGESTIMATE Y ESTRÓGENOS
G03FA14	DIDROGESTERONA Y ESTRÓGENOS
G03FA15	DIENOGEST Y ESTRÓGENOS
G03FA16	TRIMEGESTONA Y ESTRÓGENOS
G03FA17	DROSPIRENONA Y ESTRÓGENOS
G03FB	PROGESTÁGENOS Y ESTRÓGENOS, PREPARADOS SECUENCIALES
G03FB01	NORGESTREL Y ESTRÓGENOS
G03FB02	LINESTRENOL Y ESTRÓGENOS
G03FB03	CLORMADINONA Y ESTRÓGENOS
G03FB04	MEGESTROL Y ESTRÓGENOS
G03FB05	NORETISTERONA Y ESTRÓGENOS
G03FB06	MEDROXIPROGESTERONA Y ESTRÓGENOS
G03FB07	MEDROGESTONA Y ESTRÓGENOS
G03FB08	DIDROGESTERONA Y ESTRÓGENOS
G03FB09	LEVONORGESTREL Y ESTRÓGENOS
G03FB10	DESOGESTREL Y ESTRÓGENOS
G03FB11	TRIMEGESTONA Y ESTRÓGENOS
G03G	GONADOTROFINAS Y OTROS ESTIMULANTES DE LA OVULACIÓN
G03GA	GONADOTROFINAS
G03GA01	GONADOTROFINA HUMANA CORIÓNICA
G03GA02	GONADOTROFINA HUMANA MENOPAUSÁUSICA
G03GA03	GONADOTROFINA SÉRICA
G03GA04	UROFOLITROPINA
G03GA05	FOLITROPINA ALFA
G03GA06	FOLITROPINA BETA
G03GA07	LUTROPINA ALFA
G03GA08	CORIOGONADOTROFINA ALFA
G03GB	ESTIMULANTES SINTÉTICOS DE LA OVULACIÓN
G03GB01	CICLOFENIL
G03GB02	CLOMIFENO
G03GB03	EPIMESTROL
G03H	ANTIANDRÓGENOS
G03HA	PREPARADOS QUE CONTIENEN ANTIANDRÓGENOS, MONODROGAS
G03HA01	CIPROTERONA
G03HB	ANTIANDRÓGENOS Y ESTRÓGENOS
G03HB01	CIPROTERONA Y ESTRÓGENOS
G03X	OTRAS HORMONAS SEXUALES Y MODULADORES DEL SISTEMA GENITAL
G03XA	ANTIGONADOTROFINAS Y AGENTES SIMILARES
G03XA01	DANAZOL
G03XA02	GESTRINONA
G03XB	ANTIPROGESTÁGENOS
G03XB01	MIFEPRISTONA
G03XC	MODULADORES SELECTIVOS DE LOS RECEPTORES DE ESTRÓGENOS
G03XC01	RALOXIFENO
G03XC02	BAZEDOXIFENO
G03XX	FITOESTRÓGENOS
G03XX01	ISOFLAVONAS DE SOJA
G04	UROLÓGICOS
G04B	OTROS PRODUCTOS DE USO UROLÓGICO, INCLUYENDO ANTIESPASMÓDICOS
G04BA	ACIDIFICANTES
G04BA01	CLORURO AMÓNICO
G04BA03	CLORURO CÁLCICO
G04BC	SOLVENTES DE CONCRECIONES URINARIAS
G04BD	ANTIESPASMÓDICOS URINARIOS
G04BD01	EMEPRONIO
G04BD02	FLAVOXATE
G04BD03	MELADRAZINA
G04BD04	OXIBUTININA
G04BD05	TERODILINA
G04BD06	PROPIVERINA
G04BD07	TOLTERODINA
G04BD08	SOLIFENACINA
G04BD09	TROSPIO
G04BD10	DARIFENACINA
G04BD11	FESOTERODINA
G04BE	DROGAS USADAS EN DISFUNCIÓN ERÉCTIL
G04BE01	ALPROSTADIL
G04BE02	PAPAVERINA
G04BE03	SILDENAFILO
G04BE04	YOHIMBINA
G04BE05	FENTOLAMINA
G04BE06	MOXISILITE
G04BE07	APOMORFINA
G04BE08	TADALAFILO
G04BE09	VARDENAFILO
G04BE30	COMBINACIONES
G04BE52	PAPAVERINA, COMBINACIONES
G04BX	OTROS PRODUCTOS UROLÓGICOS
G04BX01	HIDRÓXIDO MAGNÉSICO
G04BX03	ÁCIDO ACETOHIDROXÁMICO
G04BX06	FENAZOPIRIDINA
G04BX10	SUCCINIMIDA
G04BX11	COLÁGENO
G04BX12	FENIL SALICILATO
G04BX13	DIMETIL SULFÓXIDO
G04BX14	DAPOXETINA
G04C	DROGAS USADAS EN LA HIPERPLASIA BENIGNA DE PRÓSTATA
G04CA	ANTAGONISTAS DE LOS RECEPTORES ALFA ADRENÉRGICOS
G04CA01	ALFUZOSINA
G04CA02	TAMSULOSINA
G04CA03	TERAZOSINA
G04CA04	SILODOSINA
G04CA52	TAMSULOSINA Y DUTASTERIDA
G04CB	INHIBIDORES DE LA TESTOSTERONA 5-ALFA REDUCTASA
G04CB01	FINASTERIDE
G04CB02	DUTASTERIDE
G04CX	OTRAS DROGAS USADAS EN LA HIPERPLASIA BENIGNA DE PRÓSTATA
G04CX01	PYGEUM AFRICANUM
G04CX02	SERENOA REPENS
G04CX03	MEPARTRICINA
H	PREPARADOS HORMONALES SISTÉMICOS, EXCLUYENDO HORMONAS SEXUALES E INSULINAS
H01	HORMONAS HIPOFISIARIAS
H01A	HORMONAS DEL LÓBULO ANTERIOR DE LA HIPÓFISIS Y SUS ANÁLOGOS
H01AA	ACTH
H01AA01	CORTICOTROPINA
H01AA02	TETRACOSACTIDA
H01AB	TIROTROPINA
H01AB01	TIROTROPINA
H01AC	SOMATOTROPINA Y ANÁLOGOS
H01AC01	SOMATROPINA
H01AC02	SOMATREM
H01AC03	MECASERMINA
H01AC04	SERMORELINA
H01AX	OTRAS HORMONAS Y ANÁLOGOS DEL LÓBULO ANTERIOR DE LA HIPÓFISIS
H01AX01	PEGVISOMANT
H01B	HORMONAS DEL LÓBULO POSTERIOR DE LA HIPÓFISIS
H01BA	VASOPRESINA Y ANÁLOGOS
H01BA01	VASOPRESINA
H01BA02	DESMOPRESINA
H01BA03	LIPRESINA
H01BA04	TERLIPRESINA
H01BA05	ORNIPRESINA
H01BA06	ARGIPRESINA
H01BB	OXITOCINA Y ANÁLOGOS
H01BB01	DEMOXITOCINA
H01BB02	OXITOCINA
H01BB03	CARBETOCINA
H01C	HORMONAS HIPOTALÁMICAS
H01CA	HORMONAS LIBERADORAS DE GONADOTROPINA
H01CA01	GONADORELINA
H01CA02	NAFARELINA
H01CA03	HISTRELINA
H01CB	INHIBIDORES DE LA HORMONAS DE CRECIMIENTO
H01CB01	SOMATOSTATINA
H01CB02	OCTREOTIDA
H01CB03	LANREOTIDA
H01CC	INHIBIDORES DE LAS HORMONAS LIBERADORAS DE GONADOTROPINA
H01CC01	GANIRELIX
H01CC02	CETRORELIX
H02	CORTICOSTEROIDES PARA USO SISTÉMICO
H02A	CORTICOSTEROIDES PARA USO SISTÉMICO, MONODROGAS
H02AA	MINERALOCORTICOIDES
H02AA01	ALDOSTERONA
H02AA02	FLUDROCORTISONA
H02AA03	DESOXICORTONA
H02AB	GLUCOCORTICOIDES
H02AB01	BETAMETASONA
H02AB02	DEXAMETASONA
H02AB03	FLUOCORTOLONA
H02AB04	METILPREDNISOLONA
H02AB05	PARAMETASONA
H02AB06	PREDNISOLONA
H02AB07	PREDNISONA
H02AB08	TRIAMCINOLONA
H02AB09	HIDROCORTISONA
H02AB10	CORTISONA
H02AB11	PREDNILIDENE
H02AB12	RIMEXOLONA
H02AB13	DEFLAZACOR
H02AB14	CLOPREDNOL
H02AB15	MEPREDNISONA
H02AB17	CORTIVAZOL
H02B	CORTICOSTEROIDES PARA USO SISTÉMICO, COMBINACIONES
H02BX	CORTICOSTEROIDES PARA USO SISTÉMICO, COMBINACIONES
H02BX01	METILPREDNISOLONA, COMBINACIONES
H02C	PREPARADOS CONTRA LAS HORMONAS ADRENALES
H02CA	ANTICORTICOSTEROIDES
H02CA01	TRILOSTANE
H03	TERAPIA TIROIDEA
H03A	PREPARADOS DE HORMONA TIROIDEA
H03AA	HORMONAS TIROIDEAS
H03AA01	LEVOTIROXINA SÓDICA
H03AA02	LIOTIRONINA SÓDICA
H03AA03	COMBINACIONES DE LEVOTIROXINA Y LIOTIRONINA
H03AA04	TIRATRICOL
H03AA05	PREPARACIONES DE LA GLÁNDULA TIROIDEA
H03B	PREPARADOS ANTITIROIDEOS
H03BA	TIOURACILOS
H03BA01	METILTIOURACILO
H03BA02	PROPILTIOURACILO
H03BA03	BENZILTIOURACILO
H03BB	DERIVADOS IMIDAZÓLICOS QUE CONTIENEN AZUFRE
H03BB01	CARBIMAZOL
H03BB02	TIAMAZOL
H03BB52	TIAMAZOL, COMBINACIONES
H03BC	PERCLORATOS
H03BC01	PERCLORATO POTÁSICO
H03BX	OTROS PREPARADOS ANTITIROIDEOS
H03BX01	DIYODOTIROSINA
