"";"Électromyographie par électrode de surface, sans enregistrement vidéo";"Non pris en charge"
"";"Ponction ou cytoponction d'une articulation du membre inférieur, par voie transcutanée avec guidage scanographique";"14,40"
"";"Biopsie d'un os et/ou d'une articulation du membre inférieur, par voie transcutanée sans guidage";"38,76"
"";"Biopsie unicorticale de l'os coxal, par voie transcutanée";"63,64"
"";"Biopsie bicorticale de la crête iliaque, par voie transcutanée";"69,86"
"";"Biopsie d'un os et/ou d'une articulation du membre inférieur, par voie transcutanée avec guidage radiologique";"76,80"
"";"Biopsie d'un os et/ou d'une articulation du membre inférieur, par voie transcutanée avec guidage scanographique";"76,80"
"";"Biopsie d'un os et/ou d'une articulation du membre inférieur, par abord direct";"132,16"
"";"anesthésie";"49,85"
"";"Biopsie de la corticale externe de l'os coxal, par abord direct";"142,99"
"";"anesthésie";"51,32"
"";"Biopsie de la corticale interne de l'os coxal, par abord direct";"189,46"
"";"anesthésie";"56,45"
"";"Biopsie d'une articulation de la ceinture pelvienne [du bassin], par abord direct";"172,60"
"";"anesthésie";"78,07"
"";"Biopsie de l'articulation coxofémorale, par abord direct";"143,41"
"";"anesthésie";"77,35"
"";"Exploration de l'articulation coxofémorale, par arthroscopie";"183,03"
"";"anesthésie";"96,40"
"";"Exploration de l'articulation du genou, par arthroscopie";"125,40"
"";"anesthésie";"69,28"
"";"Exploration de l'articulation de la cheville, par arthroscopie";"146,02"
"";"anesthésie";"85,77"
"";"Réduction orthopédique extemporanée de fracture et/ou de luxation de la ceinture pelvienne [du bassin]";"108,85"
"";"anesthésie";"49,48"
"";"Réduction orthopédique progressive de fracture et/ou de luxation de la ceinture pelvienne [du bassin], par traction continue ou suspension";"96,11"
"";"Ostéosynthèse de fracture ou de fracture-luxation de la ceinture pelvienne [du bassin], à foyer fermé";"193,18"
"";"anesthésie";"86,88"
"";"Ostéosynthèse unifocale de fracture ou de fracture-luxation de la ceinture pelvienne [du bassin], à foyer ouvert";"283,11"
"";"anesthésie";"134,82"
"";"Ostéosynthèse plurifocale de fracture ou de fracture-luxation de la ceinture pelvienne [du bassin], à foyer ouvert";"318,06"
"";"anesthésie";"186,50"
"";"Ostéosynthèse de fracture de l'acétabulum, par abord postérieur";"340,61"
"";"anesthésie";"152,00"
"";"Ostéosynthèse de fracture de l'acétabulum, par abord antérieur";"392,09"
"";"anesthésie";"186,38"
"";"Ostéosynthèse de fracture des colonnes antérieure et postérieure de l'acétabulum, par un ou deux abords";"689,98"
"";"anesthésie";"300,71"
"";"Ostéotomie supraacétabulaire de l'os coxal par une section";"387,04"
"";"anesthésie";"141,74"
"";"Ostéotomie supraacétabulaire de l'os coxal par une section, avec ostéoplastie supraacétabulaire par butée";"463,82"
"";"anesthésie";"187,51"
"";"Ostéotomie supraacétabulaire de l'os coxal par une section, avec capsuloplastie";"480,83"
"";"anesthésie";"195,58"
"";"Ostéotomie supraacétabulaire de l'os coxal par une section, avec ostéotomie du fémur";"519,08"
"";"anesthésie";"188,10"
"";"Ostéotomie extraacétabulaire de l'os coxal par plusieurs sections";"412,94"
"";"anesthésie";"154,94"
"";"Ostéotomie extraacétabulaire de l'os coxal par plusieurs sections, avec capsuloplastie";"490,29"
"";"anesthésie";"187,51"
"";"Ostéotomie extraacétabulaire de l'os coxal par plusieurs sections, avec ostéotomie du fémur";"583,23"
"";"anesthésie";"208,03"
"";"Ostéotomie périacétabulaire de l'os coxal";"483,67"
"";"anesthésie";"173,26"
"";"Exérèse partielle de l'os coxal sans interruption de la continuité, par abord direct";"188,24"
"";"anesthésie";"96,77"
"";"Évidement de l'os coxal sans comblement, par abord direct";"166,44"
"";"anesthésie";"90,54"
"";"Évidement de l'os coxal avec comblement, par abord direct";"242,26"
"";"anesthésie";"115,28"
"";"Résection partielle de l'aile iliaque ou du cadre obturateur n'interrompant pas la continuité de l'anneau pelvien";"236,36"
"";"anesthésie";"138,19"
"";"Résection complète en bloc de l'aile iliaque ou du cadre obturateur interrompant la continuité de l'anneau pelvien";"430,22"
"";"anesthésie";"249,15"
"";"Résection complète en bloc partielle ou totale d'un os coxal [hémibassin] emportant l'acétabulum";"794,59"
"";"anesthésie";"376,63"
"";"Résection en bloc de l'os coxal ou du fémur avec arthrectomie monobloc de hanche";"674,93"
"";"anesthésie";"348,77"
"";"Prélèvement d'un os coxal [hémibassin], sur un sujet décédé";"Non pris en charge"
"";"Reconstruction de l'os coxal [hémibassin] après résection de la zone acétabulaire, sans prothèse coxale";"545,12"
"";"anesthésie";"348,02"
"";"Ablation de matériel d'ostéosynthèse de l'acétabulum ou de l'os coxal, par abord direct";"151,49"
"";"anesthésie";"97,87"
"";"Réduction orthopédique extemporanée de fracture-décollement de l'épiphyse distale du fémur";"167,20"
"";"anesthésie";"70,75"
"";"Réduction orthopédique progressive de fracture du fémur, par traction continue collée";"167,20"
"";"Réduction orthopédique progressive de fracture du fémur, par traction continue transosseuse";"167,20"
"";"Ostéosynthèse de fracture parcellaire de la tête du fémur, par arthrotomie";"374,48"
"";"anesthésie";"186,38"
"";"Ostéosynthèse de fracture intracapsulaire du col [transcervicale] du fémur, de décollement épiphysaire ou d'épiphysiolyse de l'extrémité proximale du fémur";"374,48"
"";"anesthésie";"186,38"
"";"Ostéosynthèse de fracture extracapsulaire du col du fémur";"374,48"
"";"anesthésie";"186,38"
"";"Ostéosynthèse de fracture du grand trochanter";"197,69"
"";"anesthésie";"155,89"
"";"Ostéosynthèse du grand trochanter pour pseudarthrose";"281,29"
"";"anesthésie";"218,59"
"";"Ostéosynthèse de fractures homolatérales du col et de la diaphyse du fémur";"499,88"
"";"anesthésie";"249,08"
"";"Ostéosynthèse de fracture infratrochantérienne ou trochantérodiaphysaire du fémur";"374,48"
"";"anesthésie";"186,38"
"";"Ostéosynthèse de fracture de la diaphyse du fémur par fixateur externe ou broche, à foyer fermé";"281,29"
"";"anesthésie";"155,89"
"";"Ostéosynthèse de fracture de la diaphyse du fémur par matériel centromédullaire sans verrouillage distal, à foyer fermé";"281,29"
"";"anesthésie";"155,89"
"";"Ostéosynthèse de fracture de la diaphyse du fémur par matériel centromédullaire avec verrouillage distal, à foyer fermé";"305,25"
"";"anesthésie";"156,38"
"";"Ostéosynthèse de fracture de la diaphyse du fémur, à foyer ouvert";"287,97"
"";"anesthésie";"162,61"
"";"Ostéosynthèse de fracture ou de décollement épiphysaire de l'extrémité distale du fémur, à foyer fermé";"374,48"
"";"anesthésie";"186,38"
"";"Ostéosynthèse de fracture supracondylaire extraarticulaire du fémur, à foyer ouvert";"374,48"
"";"anesthésie";"186,38"
"";"Ostéosynthèse de fracture simple supracondylaire et intercondylaire du fémur, à foyer ouvert";"374,48"
"";"anesthésie";"186,38"
"";"Ostéosynthèse de fracture complexe supracondylaire et intercondylaire du fémur, à foyer ouvert";"440,22"
"";"anesthésie";"190,44"
"";"Ostéosynthèse de fracture d'un condyle fémoral, à foyer ouvert";"374,48"
"";"anesthésie";"186,38"
"";"Fixation de fragment ostéochondral intraarticulaire du genou, par arthroscopie";"242,81"
"";"anesthésie";"110,70"
"";"Fixation de fragment ostéochondral intraarticulaire du genou, par arthrotomie";"213,61"
"";"anesthésie";"101,17"
"";"Ostéosynthèse préventive du fémur pour lésion ostéolytique, à foyer fermé";"281,29"
"";"anesthésie";"155,89"
"";"Ostéosynthèse préventive du fémur pour lésion ostéolytique, à foyer ouvert";"311,42"
"";"anesthésie";"172,15"
"";"Ostéotomie intraarticulaire du col du fémur";"483,67"
"";"anesthésie";"181,70"
"";"Ostéotomie du grand trochanter";"313,50"
"";"anesthésie";"125,40"
"";"Ostéotomie intertrochantérienne ou infratrochantérienne du fémur";"313,50"
"";"anesthésie";"150,90"
"";"Ostéotomie basicervicale du fémur";"424,05"
"";"anesthésie";"168,50"
"";"Ostéotomie unilatérale de valgisation-translation du col du fémur pour dysplasie congénitale";"359,48"
"";"anesthésie";"153,10"
"";"Ostéotomie bilatérale de valgisation-translation du col du fémur pour dysplasie congénitale";"567,62"
"";"anesthésie";"219,45"
"";"Ostéotomie simple unilatérale de la diaphyse du fémur";"317,95"
"";"anesthésie";"144,31"
"";"Ostéotomie simple unilatérale de la diaphyse du fémur, avec arthrodèse du couple de torsion du pied [talocalcanéenne et médiotarsienne] et correction de vices architecturaux du pied";"470,41"
"";"anesthésie";"203,65"
"";"Ostéotomie simple bilatérale de la diaphyse du fémur";"548,63"
"";"anesthésie";"222,67"
"";"Ostéotomie simple bilatérale de la diaphyse du fémur, avec arthrodèse du couple de torsion du pied [talocalcanéenne et médiotarsienne] et correction de vices architecturaux du pied";"794,20"
"";"anesthésie";"284,62"
"";"Ostéotomie complexe de la diaphyse du fémur";"397,32"
"";"anesthésie";"153,84"
"";"Ostéotomie simple unilatérale de la diaphyse du fémur et du tibia";"447,52"
"";"anesthésie";"201,80"
"";"Ostéotomie simple unilatérale de la diaphyse du fémur et du tibia, avec arthrodèse du couple de torsion du pied [talocalcanéenne et médiotarsienne] et correction de vices architecturaux";"569,24"
"";"anesthésie";"231,86"
"";"Ostéotomie simple bilatérale de la diaphyse du fémur et du tibia";"652,75"
"";"anesthésie";"269,58"
"";"Ostéotomie simple bilatérale de la diaphyse du fémur et du tibia, avec arthrodèse du couple de torsion du pied [talocalcanéenne et médiotarsienne] et correction de vices architecturaux";"925,39"
"";"anesthésie";"315,04"
"";"Ostéotomie simple de l'extrémité distale du fémur";"337,69"
"";"anesthésie";"139,18"
"";"Ostéotomie complexe de l'extrémité distale du fémur";"390,74"
"";"anesthésie";"154,57"
"";"Ostéotomie de dérotation de l'extrémité distale du fémur ou de l'extrémité proximale du tibia, avec abord vasculaire ou nerveux préalable";"404,86"
"";"anesthésie";"163,92"
"";"Exérèse partielle du fémur sans interruption de la continuité, par abord direct";"171,38"
"";"anesthésie";"77,34"
"";"Évidement du fémur sans comblement, par abord direct";"156,98"
"";"anesthésie";"79,91"
"";"Évidement du fémur avec comblement, par abord direct";"232,40"
"";"anesthésie";"97,68"
"";"Évidement de l'extrémité proximale du fémur en présence d'un cartilage épiphysaire actif sans comblement, par abord direct";"222,36"
"";"anesthésie";"93,84"
"";"Évidement de l'extrémité proximale du fémur en présence d'un cartilage épiphysaire actif avec comblement, par abord direct";"293,67"
"";"anesthésie";"116,38"
"";"Évidement de l'extrémité distale du fémur et/ou de l'extrémité proximale du tibia en présence d'un cartilage épiphysaire actif sans comblement, par abord direct";"210,99"
"";"anesthésie";"103,55"
"";"Évidement de l'extrémité distale du fémur et/ou de l'extrémité proximale du tibia en présence d'un cartilage épiphysaire actif avec comblement, par abord direct";"266,11"
"";"anesthésie";"111,99"
"";"Résection partielle d'une extrémité et/ou de la diaphyse du fémur sans interruption de la continuité osseuse";"222,11"
"";"anesthésie";"100,37"
"";"Résection de la tête et du col du fémur sans interposition capsulaire ou aponévrotique";"189,48"
"";"anesthésie";"92,01"
"";"Résection de la tête et du col du fémur avec interposition capsulaire et/ou aponévrotique";"339,32"
"";"anesthésie";"137,73"
"";"Résection segmentaire du fémur avec ostéosynthèse, pour pseudarthrose congénitale";"473,85"
"";"anesthésie";"188,10"
"";"Résection segmentaire du fémur avec ostéosynthèse et transfert axial progressif d'un fragment osseux, pour pseudarthrose congénitale";"483,71"
"";"anesthésie";"188,10"
"";"Résection en bloc d'une extrémité et/ou de la diaphyse du fémur";"309,14"
"";"anesthésie";"164,58"
"";"Reconstruction du fémur par greffe ou matériau inerte non prothétique, après résection partielle d'une extrémité et/ou de la diaphyse";"313,50"
"";"anesthésie";"163,73"
"";"Reconstruction du fémur par greffe ou matériau inerte non prothétique, après résection en bloc d'une extrémité et/ou de la diaphyse";"424,05"
"";"anesthésie";"197,46"
"";"Épiphysiodèse au genou, par un abord direct";"133,80"
"";"anesthésie";"80,27"
"";"Épiphysiodèse au genou, par plusieurs abords directs";"164,11"
"";"anesthésie";"95,85"
"";"Désépiphysiodèse au fémur ou au tibia";"306,20"
"";"anesthésie";"138,81"
"";"Désépiphysiodèse centrale ou périphérique au fémur ou au tibia, avec ostéotomie";"333,16"
"";"anesthésie";"158,60"
"";"Ablation de matériel d'ostéosynthèse du fémur, par abord direct";"95,57"
"";"anesthésie";"59,02"
"";"Décortication du fémur pour pseudarthrose";"406,69"
"";"anesthésie";"218,59"
"";"Décortication du fémur avec ostéosynthèse pour pseudarthrose";"406,69"
"";"anesthésie";"218,59"
"";"Perforation, forage, ou injection intraosseuse au niveau de la tête du fémur, par voie transcutanée";"139,30"
"";"anesthésie";"81,01"
"";"Ostéosynthèse de fracture simple de la patelle, à foyer ouvert";"138,12"
"";"anesthésie";"103,71"
"";"Ostéosynthèse de fracture complexe de la patelle, à foyer ouvert";"169,79"
"";"anesthésie";"117,28"
"";"Patellectomie partielle, par abord direct";"177,55"
"";"anesthésie";"82,10"
"";"Patellectomie totale, par abord direct";"205,92"
"";"anesthésie";"89,44"
"";"Patelloplastie modelante ostéochondrale [Résection arthroplastique de la rotule]";"211,68"
"";"anesthésie";"88,71"
"";"Réduction orthopédique extemporanée de fracture d'une extrémité et/ou de la diaphyse du tibia ou des 2 os de la jambe";"109,69"
"";"anesthésie";"64,15"
"";"Réduction orthopédique progressive de fracture d'une extrémité et/ou de la diaphyse du tibia ou des 2 os de la jambe, par traction continue";"152,87"
"";"Ostéosynthèse de fracture ou de décollement épiphysaire de l'extrémité proximale du tibia ou des 2 os de la jambe, à foyer fermé";"197,69"
"";"anesthésie";"110,61"
"";"Ostéosynthèse de fracture de l'éminence intercondylaire du tibia [des tubercules intercondylaires] [des épines tibiales], par arthroscopie";"200,17"
"";"anesthésie";"106,97"
"";"Ostéosynthèse de fracture de l'éminence intercondylaire du tibia [des tubercules intercondylaires] [des épines tibiales], par arthrotomie";"198,11"
"";"anesthésie";"104,77"
"";"Ostéosynthèse de fracture articulaire simple unicondylaire du tibia, à foyer ouvert";"197,29"
"";"anesthésie";"106,60"
"";"Ostéosynthèse de fracture articulaire complexe de l'extrémité proximale du tibia, à foyer ouvert";"296,68"
"";"anesthésie";"121,63"
"";"Ostéosynthèse de fracture extraarticulaire de l'extrémité proximale du tibia, à foyer ouvert";"213,79"
"";"anesthésie";"118,67"
"";"Ostéosynthèse de fracture de la diaphyse du tibia par fixateur externe";"197,69"
"";"anesthésie";"117,94"
"";"Ostéosynthèse de fracture de la diaphyse du tibia par matériel centromédullaire sans verrouillage distal, à foyer fermé";"205,99"
"";"anesthésie";"118,67"
"";"Ostéosynthèse de fracture de la diaphyse du tibia par matériel centromédullaire avec verrouillage distal, à foyer fermé";"219,96"
"";"anesthésie";"117,21"
"";"Ostéosynthèse de fracture de la diaphyse du tibia, à foyer ouvert";"220,79"
"";"anesthésie";"112,44"
"";"Ostéosynthèse de fracture de la diaphyse de la fibula, à foyer ouvert";"108,86"
"";"anesthésie";"71,48"
"";"Ostéosynthèse de fracture ou de décollement épiphysaire de l'extrémité distale d'un os ou des 2 os de la jambe par broche ou par vis, à foyer fermé";"197,69"
"";"anesthésie";"106,58"
"";"Ostéosynthèse de fracture ou de décollement épiphysaire de l'extrémité distale du tibia ou des 2 os de la jambe par fixateur externe";"197,69"
"";"anesthésie";"117,58"
"";"Ostéosynthèse de fracture ou de décollement épiphysaire de l'extrémité distale du tibia ou des 2 os de la jambe par broche ou par vis et par fixateur externe, à foyer fermé";"219,96"
"";"anesthésie";"142,87"
"";"Ostéosynthèse de fracture ou de décollement épiphysaire de l'extrémité distale du tibia par clou transplantaire";"197,69"
"";"anesthésie";"106,58"
"";"Ostéosynthèse de fracture ou de décollement épiphysaire supramalléolaire du tibia, à foyer ouvert";"208,87"
"";"anesthésie";"111,71"
"";"Ostéosynthèse de fracture ou de décollement épiphysaire supramalléolaire des 2 os de la jambe, à foyer ouvert";"228,19"
"";"anesthésie";"111,71"
"";"Ostéosynthèse de fracture ou de décollement épiphysaire de la malléole médiale [tibiale], à foyer ouvert";"175,90"
"";"anesthésie";"90,48"
"";"Ostéosynthèse de fracture simple du pilon tibial, à foyer ouvert";"225,25"
"";"anesthésie";"109,90"
"";"Ostéosynthèse de fracture complexe du pilon tibial par fixateur externe";"233,76"
"";"anesthésie";"102,20"
"";"Ostéosynthèse de fracture complexe du pilon tibial, à foyer ouvert";"275,30"
"";"anesthésie";"143,99"
"";"Ostéosynthèse de fracture triplane de l'extrémité distale du tibia, à foyer ouvert";"239,11"
"";"anesthésie";"123,82"
"";"Ostéosynthèse de fracture de l'extrémité distale de la fibula, à foyer ouvert";"136,82"
"";"anesthésie";"79,91"
"";"Ostéosynthèse de fracture bimalléolaire simple, à foyer ouvert";"198,58"
"";"anesthésie";"110,61"
"";"Ostéosynthèse de fracture bimalléolaire complexe, à foyer ouvert";"234,36"
"";"anesthésie";"122,71"
"";"Ostéosynthèse préventive d'un os ou des 2 os de la jambe pour lésion ostéolytique, à foyer fermé";"205,99"
"";"anesthésie";"118,31"
"";"Ostéosynthèse préventive d'un os ou des 2 os de la jambe pour lésion ostéolytique, à foyer ouvert";"232,30"
"";"anesthésie";"115,38"
"";"Ostéotomie de la tubérosité du tibia [tubérosité tibiale antérieure] ou mobilisation du ligament patellaire [tendon rotulien] pour recentrage de la patelle, par arthrotomie";"250,80"
"";"anesthésie";"125,40"
"";"Ostéotomie de la tubérosité du tibia [tubérosité tibiale antérieure] ou mobilisation du ligament patellaire [tendon rotulien] avec capsulo-myo-ténoplastie pour recentrage de la patelle, par arthrotomie";"250,80"
"";"anesthésie";"125,40"
"";"Ostéotomie de la tubérosité du tibia [tubérosité tibiale antérieure] ou mobilisation du ligament patellaire [tendon rotulien] avec ostéotomie de la surface patellaire [trochlée] du fémur pour recentrage de la patelle, par arthrotomie";"299,43"
"";"anesthésie";"125,40"
"";"Ostéotomie simple de l'extrémité proximale du tibia";"305,47"
"";"anesthésie";"139,80"
"";"Ostéotomie simple de l'extrémité proximale du tibia avec reconstruction du ligament croisé antérieur";"460,62"
"";"anesthésie";"198,55"
"";"Ostéotomie complexe de l'extrémité proximale du tibia";"365,51"
"";"anesthésie";"148,52"
"";"Ostéotomie simple unilatérale de la diaphyse du tibia";"292,60"
"";"anesthésie";"139,80"
"";"Ostéotomie simple unilatérale de la diaphyse du tibia, avec arthrodèse du couple de torsion du pied [talocalcanéenne et médiotarsienne] et correction de vices architecturaux";"429,68"
"";"anesthésie";"167,73"
"";"Ostéotomie simple bilatérale de la diaphyse du tibia";"438,90"
"";"anesthésie";"219,45"
"";"Ostéotomie simple bilatérale de la diaphyse du tibia, avec arthrodèse du couple de torsion du pied [talocalcanéenne et médiotarsienne] et correction de vices architecturaux";"685,21"
"";"anesthésie";"243,56"
"";"Ostéotomie complexe de la diaphyse du tibia";"347,42"
"";"anesthésie";"139,80"
"";"Ostéotomie supramalléolaire du tibia";"292,60"
"";"anesthésie";"142,66"
"";"Ostéotomie supramalléolaire du tibia ou de l'arrière-pied, avec allongement et/ou transfert de tendon";"356,66"
"";"anesthésie";"182,02"
"";"Ostéotomie de la fibula";"167,20"
"";"anesthésie";"74,77"
"";"Exérèse partielle du tibia et/ou de la fibula sans interruption de la continuité, par abord unique";"188,10"
"";"anesthésie";"79,84"
"";"Exérèse partielle du tibia et/ou de la fibula sans interruption de la continuité, par abords multiples";"250,80"
"";"anesthésie";"103,01"
"";"Exérèse d'exostose intertibiofibulaire proximale, par abord direct";"257,33"
"";"anesthésie";"95,67"
"";"Évidement du tibia et/ou de la fibula sans comblement, par abord direct";"164,10"
"";"anesthésie";"78,44"
"";"Évidement du tibia et/ou de la fibula avec comblement, par abord direct";"250,80"
"";"anesthésie";"99,16"
"";"Résection partielle d'une extrémité et/ou de la diaphyse du tibia sans interruption de la continuité osseuse";"213,33"
"";"anesthésie";"91,64"
"";"Résection segmentaire du tibia et/ou de la fibula avec ostéosynthèse, pour pseudarthrose congénitale";"400,20"
"";"anesthésie";"138,09"
"";"Résection segmentaire du tibia et/ou de la fibula avec ostéosynthèse et transfert axial progressif d'un fragment osseux, pour pseudarthrose congénitale";"395,26"
"";"anesthésie";"138,83"
"";"Résection en bloc d'une extrémité et/ou de la diaphyse du tibia";"310,02"
"";"anesthésie";"172,63"
"";"Résection en bloc d'une extrémité et/ou de la diaphyse de la fibula";"197,69"
"";"anesthésie";"131,20"
"";"Résection en bloc de l'extrémité proximale des 2 os de la jambe";"381,67"
"";"anesthésie";"190,61"
"";"Reconstruction du tibia par greffe ou matériau inerte non prothétique, après résection partielle d'une extrémité et/ou de la diaphyse";"210,18"
"";"anesthésie";"125,36"
"";"Reconstruction du tibia par greffe ou matériau inerte non prothétique, après résection en bloc d'une extrémité et/ou de la diaphyse";"341,36"
"";"anesthésie";"164,58"
"";"Décortication de la diaphyse du tibia et/ou de la fibula pour pseudarthrose";"281,29"
"";"anesthésie";"140,22"
"";"Décortication de la diaphyse du tibia et/ou de la fibula avec ostéosynthèse, pour pseudarthrose";"343,99"
"";"anesthésie";"138,49"
"";"Greffe osseuse intertibiofibulaire, par abord direct";"292,08"
"";"anesthésie";"132,05"
"";"Ostéosynthèse de fracture du talus ou des os du médiopied, à foyer fermé";"168,56"
"";"anesthésie";"116,54"
"";"Fixation de fragment ostéochondral de la trochlée du talus, par arthroscopie";"189,20"
"";"anesthésie";"112,17"
"";"Fixation de fragment ostéochondral de la trochlée du talus, par arthrotomie";"207,22"
"";"anesthésie";"129,67"
"";"Ostéosynthèse de fracture du corps ou du col du talus, à foyer ouvert";"217,09"
"";"anesthésie";"135,54"
"";"Ostéosynthèse de fracture du calcanéus, à foyer fermé";"197,69"
"";"anesthésie";"123,43"
"";"Ostéosynthèse de fracture simple ou de fracture-luxation du calcanéus, à foyer ouvert";"219,96"
"";"anesthésie";"138,83"
"";"Ostéosynthèse de fracture complexe du calcanéus, à foyer ouvert";"273,83"
"";"anesthésie";"172,92"
"";"Ostéosynthèse de fracture des os du médiopied, à foyer ouvert";"152,45"
"";"anesthésie";"107,40"
"";"Ostéotomie tibiotalienne intraarticulaire";"268,18"
"";"anesthésie";"125,40"
"";"Ostéotomie du calcanéus ou du talus";"243,63"
"";"anesthésie";"102,55"
"";"Ostéotomie du calcanéus avec désinsertion des muscles de la plante du pied";"234,71"
"";"anesthésie";"89,44"
"";"Ostéotomie de l'os cunéiforme médial, avec libération mobilisatrice de l'articulation métatarsophalangienne du premier orteil";"188,10"
"";"anesthésie";"80,09"
"";"Ostéotomie de l'os cunéiforme médial et du premier métatarsien, avec libération mobilisatrice de l'articulation métatarsophalangienne du premier orteil";"188,80"
"";"anesthésie";"83,02"
"";"Ostéotomie de l'os cunéiforme médial, du métatarsien et de la phalange proximale du premier rayon du pied, avec libération mobilisatrice de l'articulation métatarsophalangienne du premier orteil";"210,60"
"";"anesthésie";"89,99"
"";"Talectomie avec arthrodèse tibiotarsienne";"327,38"
"";"anesthésie";"158,53"
"";"Talectomie avec création de néarthrose tibiopédieuse";"206,74"
"";"anesthésie";"107,40"
"";"Résection de synostose de l'arrière-pied ou du médiopied, par abord direct";"176,04"
"";"anesthésie";"93,10"
"";"Tarsectomie postérieure ou ostéotomie de l'arrière-pied, avec ostéotomie supramalléolaire";"378,42"
"";"anesthésie";"190,81"
"";"Tarsectomie postérieure ou ostéotomie de l'arrière-pied, avec ostéotomie supramalléolaire, avec allongement et/ou transfert de tendon";"421,60"
"";"anesthésie";"204,73"
"";"Tarsectomie antérieure ou ostéotomie extraarticulaire de l'arrière-pied ou du médiopied";"253,09"
"";"anesthésie";"108,04"
"";"Réduction orthopédique de fracture et/ou de luxation de l'avant-pied";"59,09"
"";"anesthésie";"65,61"
"";"Ostéosynthèse de fracture d'un métatarsien ou d'une phalange d'orteil, à foyer fermé";"69,52"
"";"anesthésie";"83,57"
"";"Ostéosynthèse de fracture d'un métatarsien ou d'une phalange d'orteil, à foyer ouvert";"79,80"
"";"anesthésie";"69,28"
"";"Ostéosynthèse de fractures de plusieurs os de l'avant-pied, à foyer fermé";"95,42"
"";"anesthésie";"81,56"
"";"Ostéosynthèse de fractures de plusieurs os de l'avant-pied, à foyer ouvert";"122,15"
"";"anesthésie";"83,76"
"";"Ostéotomie du premier métatarsien";"128,46"
"";"anesthésie";"71,11"
"";"Ostéotomie du premier métatarsien, avec libération mobilisatrice de l'articulation métatarsophalangienne du premier orteil";"178,78"
"";"anesthésie";"91,09"
"";"Ostéotomie du métatarsien et de la phalange proximale du premier rayon du pied, avec libération mobilisatrice de l'articulation métatarsophalangienne du premier orteil";"209,00"
"";"anesthésie";"105,32"
"";"Ostéotomie du métatarsien et de la phalange proximale du premier rayon du pied, avec libération mobilisatrice de l'articulation métatarsophalangienne du premier orteil et ostéotomie d'un métatarsien latéral";"250,80"
"";"anesthésie";"128,50"
"";"Ostéotomie du métatarsien et de la phalange proximale du premier rayon du pied, avec libération mobilisatrice de l'articulation métatarsophalangienne du premier orteil et ostéotomie de plusieurs métatarsiens latéraux";"292,60"
"";"anesthésie";"154,63"
"";"Ostéotomie de la phalange proximale et libération mobilisatrice de l'articulation métatarsophalangienne du premier orteil";"167,20"
"";"anesthésie";"83,39"
"";"Ostéotomie d'un métatarsien latéral ou d'une phalange d'orteil, sur un rayon du pied";"99,68"
"";"anesthésie";"68,91"
"";"Ostéotomie d'un métatarsien latéral, avec libération de l'articulation métatarsophalangienne";"167,20"
"";"anesthésie";"83,39"
"";"Reconstruction osseuse du métatarse ou des orteils par greffe ou matériau inerte non prothétique, après résection segmentaire";"232,80"
"";"anesthésie";"127,01"
"";"Allongement osseux extemporané du fémur, avec autogreffe osseuse";"385,54"
"";"anesthésie";"175,54"
"";"Allongement osseux extemporané à l'avant-pied, avec autogreffe osseuse";"284,63"
"";"anesthésie";"125,40"
"";"Allongement osseux progressif du fémur ou du tibia par système interne, sans allongement tendineux";"354,54"
"";"anesthésie";"161,17"
"";"Allongement osseux progressif du fémur ou du tibia par système interne, avec allongement tendineux";"415,48"
"";"anesthésie";"193,22"
"";"Allongement osseux progressif du fémur ou du tibia par système externe, sans allongement tendineux";"364,41"
"";"anesthésie";"155,67"
"";"Allongement osseux progressif du fémur ou du tibia par système externe, avec allongement tendineux";"379,22"
"";"anesthésie";"156,04"
"";"Allongement osseux progressif au pied, par système externe";"305,60"
"";"anesthésie";"149,44"
"";"Résection d'une exostose infra-unguéale d'un orteil";"61,96"
"";"anesthésie";"59,39"
"";"Exérèse partielle d'os du pied sans interruption de la continuité, par abord direct";"101,59"
"";"anesthésie";"72,22"
"";"Évidement d'un os du pied sans comblement, par abord direct";"109,69"
"";"anesthésie";"72,94"
"";"Évidement d'un os du pied avec comblement, par abord direct";"188,10"
"";"anesthésie";"85,59"
"";"Résection en bloc d'un ou plusieurs os du tarse et/ou du métatarse";"194,00"
"";"anesthésie";"112,90"
"";"Ablation de matériel d'ostéosynthèse du pied, à foyer ouvert";"65,67"
"";"anesthésie";"49,48"
"";"Confection d'un appareil rigide pelvicrural [pelvijambier] ou pelvipédieux pour immobilisation initiale de fracture du membre inférieur, sans réduction";"65,81"
"";"Confection d'un appareil rigide fémorocrural [fémorojambier] ou fémoropédieux pour immobilisation initiale de fracture du membre inférieur, sans réduction";"42,23"
"";"Confection d'un appareil rigide cruropédieux [jambopédieux] pour immobilisation initiale de fracture du membre inférieur, sans réduction ";"27,57"
"";"Évacuation de collection ou synovectomie de l'articulation sacro-iliaque, par arthrotomie";"168,22"
"";"anesthésie";"94,94"
"";"Arthrodèse sacro-iliaque, par arthrotomie";"278,58"
"";"anesthésie";"97,80"
"";"Résection étendue de l'articulation sacro-iliaque";"728,76"
"";"anesthésie";"251,71"
"";"Reconstruction de l'articulation sacro-iliaque après perte de substance osseuse segmentaire avec arthrodèse, par abord direct";"322,34"
"";"anesthésie";"127,11"
"";"Évacuation de collection de l'articulation coxofémorale, par voie transcutanée";"28,80"
