"A"	"ALIMENTARY TRACT AND METABOLISM"	"VOIES DIGESTIVES ET METABOLISME"
"N07BC02"	"METHADONE"	"METHADONE"
"N07BC03"	"LEVACETYLMETHADOL"	"LEVACETYLMETHADOL"
"N07BC04"	"LOFEXIDINE"	"LOFEXIDINE"
"N07BC51"	"BUPRENORPHIN, COMBINATIONS"	"BUPRENORPHINE EN ASSOCIATION"
"N07C"	"ANTIVERTIGO PREPARATIONS"	"ANTIVERTIGINEUX"
"N07CA"	"ANTIVERTIGO PREPARATIONS"	"MEDICAMENTS ANTIVERTIGINEUX"
"N07CA01"	"BETAHISTINE"	"BETAHISTINE"
"N07CA02"	"CINNARIZINE"	"CINNARIZINE"
"N07CA03"	"FLUNARIZINE"	"FLUNARIZINE"
"N07CA04"	"ACETYLLEUCINE"	"ACETYLLEUCINE"
"N07CA52"	"CINNARIZINE, COMBINATIONS"	"CINNARIZINE EN ASSOCIATION"
"N07X"	"OTHER NERVOUS SYSTEM DRUGS"	"AUTRES MEDICAMENTS DU SYSTEME NERVEUX"
"N07XA"	"GANGLIOSIDES AND GANGLIOSIDE DERIVATIVES"	"GANGLIOSIDES ET DERIVES"
"N07XX"	"OTHER NERVOUS SYSTEM DRUGS"	"AUTRE MEDICAMENT DU SYSTEME NERVEUX"
"N07XX01"	"TIRILAZAD"	"TIRILAZAD"
"N07XX02"	"RILUZOLE"	"RILUZOLE"
"N07XX03"	"XALIPRODEN"	"XALIPRODENE"
"P"	"ANTIPARASITIC PRODUCTS, INSECTICIDES AND REPELLENTS"	"ANTIPARASITAIRES, INSECTICIDES"
"P01"	"ANTIPROTOZOALS"	"ANTIPROTOZOAIRES"
"P01A"	"AGENTS AGAINST AMOEBIASIS AND OTHER PROTOZOAL DISEASES"	"MEDICAMENTS CONTRE L'AMIBIASE ET AUTRES PROTOZOOSES"
"P01AA"	"HYDROXYQUINOLINE DERIVATIVES"	"DERIVES DE L'HYDROXYQUINOLINE"
"P01AA01"	"BROXYQUINOLINE"	"BROXYQUINOLINE"
"P01AA02"	"CLIOQUINOL"	"CLIOQUINOL"
"P01AA04"	"CHLORQUINALDOL"	"CHLORQUINALDOL"
"P01AA05"	"TILBROQUINOL"	"TILBROQUINOL"
"P01AA52"	"CLIOQUINOL, COMBINATIONS"	"CLIOQUINOL EN ASSOCIATION"
"P01AB"	"NITROIMIDAZOLE DERIVATIVES"	"DERIVES DU NITROIMIDAZOLE"
"P01AB01"	"METRONIDAZOLE"	"METRONIDAZOLE"
"P01AB02"	"TINIDAZOLE"	"TINIDAZOLE"
"P01AB03"	"ORNIDAZOLE"	"ORNIDAZOLE"
"P01AB04"	"AZANIDAZOLE"	"AZANIDAZOLE"
"P01AB05"	"PROPENIDAZOLE"	"PROPENIDAZOLE"
"P01AB06"	"NIMORAZOLE"	"NIMORAZOLE"
"P01AB07"	"SECNIDAZOLE"	"SECNIDAZOLE"
"P01AC"	"DICHLOROACETAMIDE DERIVATIVES"	"DERIVES DU DICHLOROACETAMIDE"
"P01AC01"	"DILOXANIDE"	"DILOXANIDE"
"P01AC02"	"CLEFAMIDE"	"CLEFAMIDE"
"P01AC03"	"ETOFAMIDE"	"ETOFAMIDE"
"P01AC04"	"TECLOZAN"	"TECLOSAN"
"P01AR"	"ARSENIC COMPOUNDS"	"MEDICAMENTS A BASE D'ARSENIC"
"P01AR01"	"ARSTHINOL"	"ARSTHINOL"
"P01AR02"	"DIFETARSONE"	"DIFETARSONE"
"P01AR03"	"GLYCOBIARSOL"	"GLYCOBIARSOL"
"P01AR53"	"GLYCOBIARSOL, COMBINATIONS"	"GLYCOBIARSOL EN ASSOCIATION"
"P01AX"	"OTHER AGENTS AGAINST AMOEBIASIS AND OTHER PROTOZOAL DISEASES"	"AUTRES MEDICAMENTS CONTRE L'AMIBIASE ET AUTRES PROTOZOOSES"
"P01AX01"	"CHINIOFON"	"CHINIOFON"
"P01AX02"	"EMETINE"	"EMETINE"
"P01AX04"	"PHANQUINONE"	"PHANQUINONE"
"P01AX05"	"MEPACRINE"	"MEPACRINE"
"P01AX06"	"ATOVAQUONE"	"ATOVAQUONE"
"P01AX07"	"TRIMETREXATE"	"TRIMETREXATE"
"P01AX08"	"TENONITROZOLE"	"TENONITROZOLE"
"P01AX09"	"DIHYDROEMETINE"	"DIHYDROEMETINE"
"P01AX52"	"EMETINE, COMBINATIONS"	"EMETINE EN ASSOCIATION"
"P01B"	"ANTIMALARIALS"	"ANTIPALUDEENS"
"P01BA"	"AMINOQUINOLINES"	"AMINOQUINOLEINES"
"P01BA01"	"CHLOROQUINE"	"CHLOROQUINE"
"P01BA02"	"HYDROXYCHLOROQUINE"	"HYDROXYCHLOROQUINE"
"P01BA03"	"PRIMAQUINE"	"PRIMAQUINE"
"P01BA06"	"AMODIAQUINE"	"AMODIAQUINE"
"P01BB"	"BIGUANIDES"	"BIGUANIDES"
"P01BB01"	"PROGUANIL"	"PROGUANIL"
"P01BB02"	"CYCLOGUANIL EMBONATE"	"CYCLOGUANIL EMBONATE"
"P01BB51"	"PROGUANIL, COMBINATIONS"	"PROGUANIL, ASSOCIATIONS"
"P01BC"	"METHANOLQUINOLINES"	"METHANOLQUINOLEINES"
"P01BC01"	"QUININE"	"QUININE"
"P01BC02"	"MEFLOQUINE"	"MEFLOQUINE"
"P01BD"	"DIAMINOPYRIMIDINES"	"DIAMINOPYRIMIDINES"
"P01BD01"	"PYRIMETHAMINE"	"PYRIMETHAMINE"
"P01BD51"	"PYRIMETHAMINE, COMBINATIONS"	"PYRIMETHAMINE EN ASSOCIATION"
"P01BE"	"ARTEMISININ AND DERIVATIVES"	"ARTEMISININE ET DERIVES"
"P01BE01"	"ARTEMISININ"	"ARTEMISININE"
"P01BE02"	"ARTEMETHER"	"ARTEMETHER"
"P01BE03"	"ARTESUNATE"	"ARTESUNATE"
"P01BE04"	"ARTEMOTIL"	"ARTEMOTIL"
"P01BE05"	"ARTENIMOL"	"ARTENIMOL"
"P01BE52"	"ARTEMETHER, COMBINATIONS"	"ARTEMETHER EN ASSOCIATION"
"P01BX"	"OTHER ANTIMALARIALS"	"AUTRES ANTIPALUDEENS"
"P01BX01"	"HALOFANTRINE"	"HALOFANTRINE"
"P01C"	"AGENTS AGAINST LEISHMANIASIS AND TRYPANOSOMIASIS"	"ANTILEISHMANIENS ET TRYPANOCIDES"
"P01CA"	"NITROIMIDAZOLE DERIVATIVES"	"DERIVES DU NITROIMIDAZOLE"
"P01CA02"	"BENZNIDAZOLE"	"BENZNIDAZOLE"
"P01CB"	"ANTIMONY COMPOUNDS"	"MEDICAMENTS A BASE D'ANTIMOINE"
"P01CB01"	"MEGLUMINE ANTIMONATE"	"ANTIMONIATE DE MEGLUMINE"
"P01CB02"	"SODIUM STIBOGLUCONATE"	"STIBOGLUCONATE SODIQUE"
"P01CC"	"NITROFURAN DERIVATIVES"	"DERIVES DU NITROFURANE"
"P01CC01"	"NIFURTIMOX"	"NIFURTIMOX"
"P01CC02"	"NITROFURAL"	"NITROFURAZONE"
"P01CD"	"ARSENIC COMPOUNDS"	"MEDICAMENTS A BASE D'ARSENIC"
"P01CD01"	"MELARSOPROL"	"MELARSOPROL"
"P01CD02"	"ACETARSOL"	"ACETARSOL"
"P01CX"	"OTHER AGENTS AGAINST LEISHMANIASIS AND TRYPANOSOMIASIS"	"AUTRES ANTILEISHMANIENS ET TRYPANOCIDES"
"P01CX01"	"PENTAMIDINE ISETHIONATE"	"PENTAMIDINE ISETHIONATE"
"P01CX02"	"SURAMIN SODIUM"	"SURAMINE SODIQUE"
"P01CX03"	"EFLORNITHINE"	"EFLORNITHINE"
"P02"	"ANTHELMINTICS"	"ANTHELMINTHIQUES"
"P02B"	"ANTITREMATODALS"	"ANTITREMATODES"
"P02BA"	"QUINOLINE DERIVATIVES AND RELATED SUBSTANCES"	"DERIVES DE LA QUINOLEINE ET APPARENTES"
"P02BA01"	"PRAZIQUANTEL"	"PRAZIQUANTEL"
"P02BA02"	"OXAMNIQUINE"	"OXAMNIQUINE"
"P02BB"	"ORGANOPHOSPHOROUS COMPOUNDS"	"ORGANOPHOSPHORES"
"P02BB01"	"METRIFONATE"	"METRIFONATE"
"P02BX"	"OTHER ANTITREMATODAL AGENTS"	"AUTRES ANTITREMATODES"
"P02BX01"	"BITHIONOL"	"BITHIONOL"
"P02BX02"	"NIRIDAZOLE"	"NIRIDAZOLE"
"P02BX03"	"STIBOPHEN"	"STIBOPHENE"
"P02BX04"	"TRICLABENDAZOLE"	"TRICLABENDAZOLE"
"P02C"	"ANTINEMATODAL AGENTS"	"ANTINEMATODES"
"P02CA"	"BENZIMIDAZOLE DERIVATIVES"	"DERIVES DU BENZIMIDAZOLE"
"P02CA01"	"MEBENDAZOLE"	"MEBENDAZOLE"
"P02CA02"	"TIABENDAZOLE"	"TIABENDAZOLE"
"P02CA03"	"ALBENDAZOLE"	"ALBENDAZOLE"
"P02CA04"	"CICLOBENDAZOLE"	"CICLOBENDAZOLE"
"P02CA05"	"FLUBENDAZOLE"	"FLUBENDAZOLE"
"P02CA06"	"FENBENDAZOLE"	"FENBENDAZOLE"
"P02CA51"	"MEBENDAZOLE, COMBINATIONS"	"MEBENDAZOLE EN ASSOCIATION"
"P02CB"	"PIPERAZINE AND DERIVATIVES"	"PIPERAZINE ET DERIVES"
"P02CB01"	"PIPERAZINE"	"PIPERAZINE"
"P02CB02"	"DIETHYLCARBAMAZINE"	"DIETHYLCARBAMAZINE"
"P02CC"	"TETRAHYDROPYRIMIDINE DERIVATIVES"	"DERIVES DE LA TETRAHYDROPYRIMIDINE"
"P02CC01"	"PYRANTEL"	"PYRANTEL"
"P02CC02"	"OXANTEL"	"OXANTEL"
"P02CE"	"IMIDAZOTHIAZOLE DERIVATIVES"	"DERIVES DE L'IMIDAZOTHIAZOLE"
"P02CE01"	"LEVAMISOLE"	"LEVAMISOLE"
"P02CF"	"AVERMECTINES"	"AVERMECTINES"
"P02CF01"	"IVERMECTIN"	"IVERMECTINE"
"P02CX"	"OTHER ANTINEMATODALS"	"AUTRES ANTINEMATODES"
"P02CX01"	"PYRVINIUM"	"PYRVINIUM"
"P02CX02"	"BEPHENIUM"	"BEPHENIUM"
"P02D"	"ANTICESTODALS"	"ANTICESTODES"
"P02DA"	"SALICYLIC ACID DERIVATIVES"	"DERIVES DE L'ACIDE SALICYLIQUE"
"P02DA01"	"NICLOSAMIDE"	"NICLOSAMIDE"
"P02DX"	"OTHER ANTICESTODALS"	"AUTRES ANTICESTODES"
"P02DX01"	"DESASPIDIN"	"DESASPIDINE"
"P02DX02"	"DICHLOROPHEN"	"DICHLOROPHENE"
"P03"	"ECTOPARASITICIDES, INCL. SCABICIDES, INSECTICIDES AND REPELLENTS"	"ANTIPARASITAIRES EXTERNES, INCLUANT SCABICIDES, INSECTICIDES"
"P03A"	"ECTOPARASITICIDES, INCL. SCABICIDES"	"ANTIPARASITAIRES EXTERNES, SCABICIDES INCLUS"
"P03AA"	"SULFUR CONTAINING PRODUCTS"	"DERIVES SOUFRES"
"P03AA01"	"DIXANTHOGEN"	"DIXANTHOGENE"
"P03AA02"	"POTASSIUM POLYSULFIDE"	"POTASSIUM POLYSULFURE"
"P03AA03"	"MESULFEN"	"MESULFENE"
"P03AA04"	"DISULFIRAM"	"DISULFIRAM"
"P03AA05"	"THIRAM"	"THIRAM"
"P03AA54"	"DISULFIRAM, COMBINATIONS"	"DISULFIRAM EN ASSOCIATION"
"P03AB"	"CHLORINE CONTAINING PRODUCTS"	"DERIVES CHLORES"
"P03AB01"	"CLOFENOTANE"	"CLOFENOTANE"
"P03AB02"	"LINDANE"	"LINDANE"
"P03AB51"	"CLOFENOTANE, COMBINATIONS"	"CLOFENOTANE EN ASSOCIATION"
"P03AC"	"PYRETHRINES, INCL. SYNTHETIC COMPOUNDS"	"PYRETHRINES, DERIVES DE SYNTHESE INCLUS"
"P03AC01"	"PYRETHRUM"	"PYRETHRUM"
"P03AC02"	"BIOALLETHRIN"	"BIOALLETHRINE"
"P03AC03"	"PHENOTHRIN"	"PHENOTHRINE"
"P03AC04"	"PERMETHRIN"	"PERMETHRINE"
"P03AC51"	"PYRETHRUM, COMBINATIONS"	"PYRETHRUM EN ASSOCIATION"
"P03AC52"	"BIOALLETHRIN, COMBINATIONS"	"BIOALLETHRINE EN ASSOCIATION"
"P03AC53"	"PHENOTHRIN, COMBINATIONS"	"PHENOTHRINE EN ASSOCIATION"
"P03AC54"	"PERMETHRIN, COMBINATIONS"	"PERMETHRINE EN ASSOCIATION"
"P03AX"	"OTHER ECTOPARASITICIDES, INCL. SCABICIDES"	"AUTRES ANTIPARASITAIRES EXTERNES, SCABICIDES INCLUS"
"P03AX01"	"BENZYL BENZOATE"	"BENZOATE DE BENZYLE"
"P03AX02"	"COPPER OLEINATE"	"CUIVRE OLEINATE"
"P03AX03"	"MALATHION"	"MALATHION"
"P03AX04"	"QUASSIA"	"QUASSIA"
"P03B"	"INSECTICIDES AND REPELLENTS"	"INSECTICIDES"
"P03BA"	"PYRETHRINES"	"PYRETHRINES"
"P03BA01"	"CYFLUTHRIN"	"CYFLUTHRINE"
"P03BA02"	"CYPERMETHRIN"	"CYPERMETHRINE"
"P03BA03"	"DECAMETHRIN"	"DECAMETHRINE"
"P03BA04"	"TETRAMETHRIN"	"TETRAMETHRINE"
"P03BX"	"OTHER INSECTICIDES AND REPELLENTS"	"AUTRES INSECTICIDES"
"P03BX01"	"DIETHYLTOLUAMIDE"	"DIETHYLTOLUAMIDE"
"P03BX02"	"DIMETHYLPHTHALATE"	"DIMETHYLPHTALATE"
"P03BX03"	"DIBUTYLPHTHALATE"	"DIBUTYLPHTALATE"
"P03BX04"	"DIBUTYLSUCCINATE"	"DIBUTYLSUCCINATE"
"P03BX05"	"DIMETHYLCARBATE"	"DIMETHYLCARBATE"
"P03BX06"	"ETOHEXADIOL"	"ETOHEXADIOL"
"R"	"RESPIRATORY SYSTEM"	"SYSTEME RESPIRATOIRE"
"R01"	"NASAL PREPARATIONS"	"PREPARATIONS NASALES"
"R01A"	"DECONGESTANTS AND OTHER NASAL PREPARATIONS FOR TOPICAL USE"	"DECONGESTIONNANTS ET AUTRES PREPARATIONS A USAGE TOPIQUE"
"R01AA"	"SYMPATHOMIMETICS, PLAIN"	"SYMPATHOMIMETIQUES NON ASSOCIES"
"R01AA02"	"CYCLOPENTAMINE"	"CYCLOPENTAMINE"
"R01AA03"	"EPHEDRINE"	"EPHEDRINE"
"R01AA04"	"PHENYLEPHRINE"	"PHENYLEPHRINE"
"R01AA05"	"OXYMETAZOLINE"	"OXYMETAZOLINE"
"R01AA06"	"TETRYZOLINE"	"TETRYZOLINE"
"R01AA07"	"XYLOMETAZOLINE"	"XYLOMETAZOLINE"
"R01AA08"	"NAPHAZOLINE"	"NAPHAZOLINE"
"R01AA09"	"TRAMAZOLINE"	"TRAMAZOLINE"
"R01AA10"	"METIZOLINE"	"METIZOLINE"
"R01AA11"	"TUAMINOHEPTANE"	"TUAMINOHEPTANE"
"R01AA12"	"FENOXAZOLINE"	"FENOXAZOLINE"
"R01AA13"	"TYMAZOLINE"	"TYMAZOLINE"
"R01AA14"	"EPINEPHRINE"	"EPINEPHRINE"
"R01AB"	"SYMPATHOMIMETICS, COMBINATIONS EXCL. CORTICOSTEROIDS"	"SYMPATHOMIMETIQUES EN ASSOCIATION SAUF AUX CORTICOIDES"
"R01AB01"	"PHENYLEPHRINE"	"PHENYLEPHRINE"
"R01AB02"	"NAPHAZOLINE"	"NAPHAZOLINE"
"R01AB03"	"TETRYZOLINE"	"TETRYZOLINE"
"R01AB05"	"EPHEDRINE"	"EPHEDRINE"
"R01AB06"	"XYLOMETAZOLINE"	"XYLOMETAZOLINE"
"R01AB07"	"OXYMETAZOLINE"	"OXYMETAZOLINE"
"R01AB08"	"TUAMINOHEPTANE"	"TUAMINOHEPTANE"
"R01AC"	"ANTIALLERGIC AGENTS, EXCL. CORTICOSTEROIDS"	"ANTIALLERGIQUES, CORTICOIDES EXCLUS"
"R01AC01"	"CROMOGLICIC ACID"	"CROMOGLICIQUE ACIDE"
"R01AC02"	"LEVOCABASTINE"	"LEVOCABASTINE"
"R01AC03"	"AZELASTINE"	"AZELASTINE"
"R01AC04"	"ANTAZOLINE"	"ANTAZOLINE"
"R01AC05"	"SPAGLUMIC ACID"	"SPAGLUMIQUE ACIDE"
"R01AC06"	"THONZYLAMINE"	"THONZYLAMINE"
"R01AC07"	"NEDOCROMIL"	"NEDOCROMIL"
"R01AC51"	"CROMOGLICIC ACID, COMBINATIONS"	"CROMOGLYCIQUE ACIDE EN ASSOCIATION"
"R01AD"	"CORTICOSTEROIDS"	"CORTICOIDES"
"R01AD01"	"BECLOMETASONE"	"BECLOMETASONE"
"R01AD02"	"PREDNISOLONE"	"PREDNISOLONE"
"R01AD03"	"DEXAMETHASONE"	"DEXAMETHASONE"
"R01AD04"	"FLUNISOLIDE"	"FLUNISOLIDE"
"R01AD05"	"BUDESONIDE"	"BUDESONIDE"
"R01AD06"	"BETAMETHASONE"	"BETAMETHASONE"
"R01AD07"	"TIXOCORTOL"	"TIXOCORTOL"
"R01AD08"	"FLUTICASONE"	"FLUTICASONE"
"R01AD09"	"MOMETASONE"	"MOMETASONE"
"R01AD11"	"TRIAMCINOLONE"	"TRIAMCINOLONE"
"R01AD52"	"PREDNISOLONE, COMBINATIONS"	"PREDNISOLONE EN ASSOCIATION"
"R01AD53"	"DEXAMETHASONE, COMBINATIONS"	"DEXAMETHASONE EN ASSOCIATION"
"R01AD57"	"TIXOCORTOL, COMBINATIONS"	"TIXOCORTOL EN ASSOCIATION"
"R01AD60"	"HYDROCORTISONE, COMBINATIONS"	"HYDROCORTISONE, ASSOCIATIONS"
"R01AX"	"OTHER NASAL PREPARATIONS"	"AUTRES PREPARATIONS NASALES"
"R01AX01"	"CALCIUM HEXAMINE THIOCYANATE"	"THIOCYANATE D'HEXAMINE CALCIQUE"
"R01AX02"	"RETINOL"	"RETINOL"
"R01AX03"	"IPRATROPIUM BROMIDE"	"IPRATROPIUM BROMURE"
"R01AX05"	"RITIOMETAN"	"RITIOMETAN"
"R01AX06"	"MUPIROCIN"	"MUPIROCINE"
"R01AX07"	"HEXAMIDINE"	"HEXAMIDINE"
"R01AX08"	"FRAMYCETIN"	"FRAMYCETINE"
"R01AX10"	"VARIOUS"	"DIVERS"
"R01AX30"	"COMBINATIONS"	"ASSOCIATIONS"
"R01B"	"NASAL DECONGESTANTS FOR SYSTEMIC USE"	"DECONGESTIONNANTS A USAGE SYSTEMIQUE"
"R01BA"	"SYMPATHOMIMETICS"	"SYMPATHOMIMETIQUES"
"R01BA01"	"PHENYLPROPANOLAMINE"	"PHENYLPROPANOLAMINE"
"R01BA02"	"PSEUDOEPHEDRINE"	"PSEUDOEPHEDRINE"
"R01BA03"	"PHENYLEPHRINE"	"PHENYLEPHRINE"
"R01BA51"	"PHENYLPROPANOLAMINE, COMBINATIONS"	"PHENYLPROPANOLAMINE EN ASSOCIATION"
"R01BA52"	"PSEUDOEPHEDRINE, COMBINATIONS"	"PSEUDOEPHEDRINE EN ASSOCIATION"
"R01BA53"	"PHENYLEPHRINE, COMBINATIONS"	"PHENYLEPHRINE EN ASSOCIATION"
"R02"	"THROAT PREPARATIONS"	"PREPARATIONS POUR LA GORGE"
"R02A"	"THROAT PREPARATIONS"	"PREPARATION POUR LA GORGE"
"R02AA"	"ANTISEPTICS"	"ANTISEPTIQUES"
"R02AA01"	"AMBAZONE"	"AMBAZONE"
"R02AA02"	"DEQUALINIUM"	"DEQUALINIUM"
"R02AA03"	"DICHLOROBENZYL ALCOHOL"	"ALCOOL DICHLOROBENZIQUE"
"R02AA05"	"CHLORHEXIDINE"	"CHLORHEXIDINE"
"R02AA06"	"CETYLPYRIDINIUM"	"CETYLPYRIDINIUM"
"R02AA09"	"BENZETHONIUM"	"BENZETHONIUM"
"R02AA10"	"MYRISTYL-BENZALKONIUM"	"MYRISTYL - BENZALKONIUM"
"R02AA11"	"CHLORQUINALDOL"	"CHLORQUINALDOL"
"R02AA12"	"HEXYLRESORCINOL"	"HEXYLRESORCINOL"
"R02AA13"	"ACRIFLAVINIUM CHLORIDE"	"CHLORURE D'ACRIFLAVINIUM"
"R02AA14"	"OXYQUINOLINE"	"OXYQUINOLINE"
"R02AA15"	"POVIDONE-IODINE"	"POLYVIDONE IODEE"
"R02AA16"	"BENZALKONIUM"	"BENZALKONIUM"
"R02AA17"	"CETRIMONIUM"	"CETRIMONIUM"
"R02AA18"	"HEXAMIDINE"	"HEXAMIDINE"
"R02AA19"	"PHENOL"	"PHENOL"
"R02AA20"	"VARIOUS"	"DIVERS"
"R02AB"	"ANTIBIOTICS"	"ANTIBIOTIQUES"
"R02AB01"	"NEOMYCIN"	"NEOMYCINE"
"R02AB02"	"TYROTHRICIN"	"TYROTHRICINE"
"R02AB03"	"FUSAFUNGINE"	"FUSAFUNGINE"
"R02AB04"	"BACITRACIN"	"BACITRACINE"
"R02AB30"	"GRAMICIDIN"	"GRAMICIDINE"
"R02AD"	"ANESTHETICS, LOCAL"	"ANESTHESIQUES LOCAUX"
"R02AD01"	"BENZOCAINE"	"BENZOCAÏNE"
"R02AD02"	"LIDOCAINE"	"LIDOCAÏNE"
"R02AD03"	"COCAINE"	"COCAÏNE"
"R02AD04"	"DYCLONINE"	"DYCLONINE"
"R03"	"DRUGS FOR OBSTRUCTIVE AIRWAY"	"MEDICAMENTS POUR LES SYNDROMES OBSTRUCTIFS DES VOIES AERIENNES"
"R03A"	"ADRENERGICS, INHALANTS"	"ADRENERGIQUES POUR INHALATION"
"R03AA"	"ALPHA- AND BETA-ADRENORECEPTOR AGONISTS"	"AGONISTES ALPHA ET BETA ADRENERGIQUES"
"R03AA01"	"EPINEPHRINE"	"EPINEPHRINE"
"R03AB"	"NON-SELECTIVE BETA-ADRENORECEPTOR AGONISTS"	"AGONISTES NON SELECTIFS BETA ADRENERGIQUES"
"R03AB02"	"ISOPRENALINE"	"ISOPRENALINE"
"R03AB03"	"ORCIPRENALINE"	"ORCIPRENALINE"
"R03AC"	"SELECTIVE BETA-2-ADRENORECEPTOR AGONISTS"	"AGONSITES SELECTIFS BETA 2 ADRENERGIQUES"
"R03AC02"	"SALBUTAMOL"	"SALBUTAMOL"
"R03AC03"	"TERBUTALINE"	"TERBUTALINE"
"R03AC04"	"FENOTEROL"	"FENOTEROL"
"R03AC05"	"RIMITEROL"	"RIMITEROL"
"R03AC06"	"HEXOPRENALINE"	"HEXOPRENALINE"
"R03AC07"	"ISOETARINE"	"ISOETARINE"
"R03AC08"	"PIRBUTEROL"	"PIRBUTEROL"
"R03AC09"	"TRETOQUINOL"	"TRETOQUINOL"
"R03AC10"	"CARBUTEROL"	"CARBUTEROL"
"R03AC11"	"TULOBUTEROL"	"TULOBUTEROL"
"R03AC12"	"SALMETEROL"	"SALMETEROL"
"R03AC13"	"FORMOTEROL"	"FORMOTEROL"
"R03AC14"	"CLENBUTEROL"	"CLENBUTEROL"
"R03AC15"	"REPROTEROL"	"REPROTEROL"
"R03AC16"	"PROCATEROL"	"PROCATEROL"
"R03AC17"	"BITOLTEROL"	"BITOLTEROL"
"R03AH"	"COMBINATIONS OF ADRENERGICS"	"ASSOCIATIONS D'ADRENERGIQUES"
"R03AK"	"ADRENERGICS AND OTHER DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES"	"ADRENERGIQUES ET AUTRES MEDICAMENTS POUR LES SYNDROMES OBSTRUCTIFS DES VOIES AERIENNES"
"R03AK01"	"EPINEPHRINE AND OTHER DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES"	"EPINEPHRINE ET AUTRES MEDICAMENTS POUR LES SYNDROMES OBSTRUCTIFS DES VOIES AERIENNES"
"R03AK02"	"ISOPRENALINE AND OTHER DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES"	"ISOPRENALINE ET AUTRES MEDICAMENTS POUR LES SYNDROMES OBSTRUCTIFS DES VOIES AERIENNES"
"R03AK03"	"FENOTEROL AND OTHER DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES"	"FENOTEROL ET AUTRES MEDICAMENTS POUR LES SYNDROMES OBSTRUCTIFS DES VOIES AERIENNES"
"R03AK04"	"SALBUTAMOL AND OTHER DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES"	"SALBUTAMOL ET AUTRES MEDICAMENTS POUR LES SYNDROMES OBSTRUCTIFS DES VOIES AERIENNES"
"R03AK05"	"REPROTEROL AND OTHER DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES"	"REPROTEROL ET AUTRES MEDICAMENTS POUR LES SYNDROMES OBSTRUCTIFS DES VOIES AERIENNES"
"R03AK06"	"SALMETEROL AND OTHER DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES"	"SALMETEROL ET AUTRES MEDICAMENTS POUR LES SYNDROMES OBSTRUCTIFS DES VOIES AERIENNES"
"R03AK07"	"FORMOTEROL AND OTHER DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES"	"FORMOTEROL ET AUTRES MEDICAMENTS POUR LES SYNDROMES OBSTRUCTIFS DES VOIES AERIENNES"
"R03B"	"OTHER DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES, INHALANTS"	"AUTRES MEDICAMENTS POUR LES SYNDROMES OBSTRUCTIFS DES VOIES AERIENNES, PAR INHALATION"
"R03BA"	"GLUCOCORTICOIDS"	"GLUCOCORTICOIDES"
"R03BA01"	"BECLOMETASONE"	"BECLOMETASONE"
"R03BA02"	"BUDESONIDE"	"BUDESONIDE"
"R03BA03"	"FLUNISOLIDE"	"FLUNISOLIDE"
"R03BA04"	"BETAMETHASONE"	"BETAMETHASONE"
"R03BA05"	"FLUTICASONE"	"FLUTICASONE"
"R03BA06"	"TRIAMCINOLONE"	"TRIAMCINOLONE"
"R03BA07"	"MOMETASONE"	"MOMETASONE"
"R03BA08"	"CICLESONIDE"	"CICLESONIDE"
"R03BB"	"ANTICHOLINERGICS"	"ANTICHOLINERGIQUES"
"R03BB01"	"IPRATROPIUM BROMIDE"	"BROMURE D'IPRATROPIUM"
"R03BB02"	"OXITROPIUM BROMIDE"	"BROMURE D'OXITROPIUM"
"R03BB03"	"STRAMONI PREPARATIONS"	"MEDICAMENTS A BASE DE DATURA"
"R03BB04"	"TIOTROPIUM BROMURE"	"BROMURE DE TIOTROPIUM"
"R03BC"	"ANTIALLERGIC AGENTS, EXCL. CORTICOSTEROIDS"	"ANTIALLERGIQUES, CORTICOIDES EXCLUS"
"R03BC01"	"CROMOGLICIC ACID"	"ACIDE CROMOGLICIQUE"
"R03BC03"	"NEDOCROMIL"	"NEDOCROMIL"
"R03BX"	"OTHER DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES, INHALANTS"	"AUTRES MEDICAMENTS POUR LES SYNDROMES OBSTRUCTIFS DES VOIES AERIENNES, PAR INHALATION"
"R03BX01"	"FENSPIRIDE"	"FENSPIRIDE"
"R03C"	"ADRENERGICS FOR SYSTEMIC USE"	"ADRENERGIQUES A USAGE SYSTEMIQUE"
"R03CA"	"ALPHA- AND BETA-ADRENORECEPTOR AGONISTS"	"AGONISTES ALPHA ET BETA ADRENERGIQUES"
"R03CA02"	"EPHEDRINE"	"EPHEDRINE"
"R03CB"	"NON-SELECTIVE BETA-ADRENORECEPTOR AGONISTS"	"AGONISTES NON SELECTIFS BETA ADRENERGIQUES"
"R03CB01"	"ISOPRENALINE"	"ISOPRENALINE"
"R03CB02"	"METHOXYPHENAMINE"	"METHOXYPHENAMINE"
"R03CB03"	"ORCIPRENALINE"	"ORCIPRENALINE"
"R03CB51"	"ISOPRENALINE, COMBINATIONS"	"ISOPRENALINE EN ASSOCIATION"
